orig_node,message_count,percentage_of_total
03362ab599d1e8d5e8e02ce38e836a3cf1a6e59f047d7f02d12484f160a6bc76f6,28,0.07
0392fdd6d6a752dd1d8a5b3dd0800cae2ab4d06943944f450bd44e1fa8a43d6b09,28,0.07
02f6155b106a9f92a13738833ec7e25da58fab1fdef3ac085571c3984bb277d547,28,0.07
036d81bb87af589f949dec53af1b3121c84048d0913eb56945cbbb62c5cb4fcb6f,27,0.07
038bcc6471941c7d6c14a8ce5b7159d8f73a3a0bb9a93e8896bcb892e14552658a,27,0.07
02e20719eae7b99be3589d1afe07f26340fb8a1d3f247c4f8fc65336abf0e30b63,27,0.07
03333700ea7dd48f2bdfab9f85de011803ad964fecbd58c56c48cc759c9c8f5fe6,27,0.07
02dbdf2312bb589a721604f3cff62d11f0d9adcd3602a66df3c413e8ba0c565692,27,0.07
03841ab181aa66a9670aed5127d1943e009bf7ff2e118317e3133bee9e9390fe2d,27,0.07
0390cc12f782259427bdc45a283705f4c20ccbdff064ed43f6b74fefcafe9eb1f7,27,0.07
022ea68ac7588959a6a4829a5ff176c296329d614b90b3f5f4456b5d6130ea50f6,27,0.07
031a01e29587952eda0ed5d10c4e79bf0fc88d61aeae89e8a7ea7c036badb8c793,27,0.07
025b0351eace3c8951c6831df34b769a25040ed600ec5aceb80349c4129a4a51af,27,0.07
03413cd663b1b622eacb9cd1d5d66237a0c7d934e03684b00c67470f07b8f26657,26,0.06
03cc1d0932bb99b0697f5b5e5961b83ab7fd66f1efc4c9f5c7bad66c1bcbe78f02,26,0.06
031f7117cfda5d2aea959594430a9543e51321f3b99ed367f06634955defb8c73e,26,0.06
033eec549d83e98397100a601664e182d1af8332dfdde7a41e4e06ed127081c80c,26,0.06
025dcd49598a17b9c8344c47da766e919e5034e286749fdbb3336c499386a60795,26,0.06
039bd8fd26d4ae06c627af860b271f0cc896153ea87accedfb5b2ed20bfddd7f3b,26,0.06
02dfff62c530abdb2398b33a880701c23da6c4eb5ec6e50632eb15b9fc581df27f,26,0.06
0379f37f5d2bba9ed88395a5047ccf06d60ed9f9fe9c1fa336dbb2fca38ae93b3d,26,0.06
03aafb64bdfb314cbd62038a037260bce8655f461a2c187454a9845585fb17360e,26,0.06
021035260459caddc71bea5319e5cf20c7d7496b63e69ee474e74ee5668db21a05,26,0.06
036467c471f04735c04dacdcaa1ffc615b0a49c951b108deba6e4f099a4be88c1f,26,0.06
02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,25,0.06
02607c9c92b7fa405dd27d8114d5ba1e6c04bf8757bef18b3649bffa2691d7638c,25,0.06
03641a88d80a2a85bbecd770577aca9b5495616e9fef63d66ef2631b7cca1d395d,25,0.06
023ef61f179d401434cdb44cd392d06e1bbeeb4eba66097d87aaf5e1232b7a5506,25,0.06
0283a2c4416a4803590d46fc104a8df50455c84cb25e9efe494b3ad4739bb5b3f7,25,0.06
03e9cbcd46bd7de2a1559777e7f0c6681522a9b1821b994923da748e06b796cab0,25,0.06
026c4d6c443bdafdda649e3e014db55205eb1eba4413fe401d009aa7ee140e261d,25,0.06
024eac466254511fc135d43ab676155c3b3a2db9c63a4a85ad8a76ad2520652ab0,25,0.06
0270022c2adc16eb48c9b4ca3838724c14455558f32be331889d1ec47fd0dd2ff4,25,0.06
03c445275ee7d79ee5778ca2ac81b7c4d84aed7ee04629e8d8f35434b3c21e2da8,25,0.06
028e04e4802901ff6ad233cf1b185f42290f854a0e643bf3f7a7b3433b34364582,25,0.06
03905aed59919f322abcc107c3cb6767bc7d40ed175a9d143706fc211cad188157,25,0.06
034a879c36f418cb5b44b6903b3c6c1cfb5f4beb1e79b9b479c040b7df9cbc56be,25,0.06
