orig_node,message_count,percentage_of_total
028803c6dd88596c7cf92566a641f7fb62cc848f525ab0bd5d72b6856fc71a44a9,80,0.06
0200232177944d5e2ddf5b203843050dee40c4b7f343356499ed9aeb4eb154fd4e,80,0.06
034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,80,0.06
0286639824e8f464c2febdfa9bc18a3e1e5191c3f9682fd46ba1c2b3712161aa2d,80,0.06
039bd8fd26d4ae06c627af860b271f0cc896153ea87accedfb5b2ed20bfddd7f3b,79,0.06
02c7f61b94d7ed43f112538c415860fd46d8577dd1d1053eacc43e055ecb17787f,79,0.06
030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,79,0.06
0217a309762fb94b9dcedfd16485ca2e52f3f3c8fa1cbab54e8f922fcf1454bbd7,79,0.06
02562210dcf4c52349e184ae2ce1ee41d7b7bc89392c213a6acdc8323705b68747,78,0.06
031015a7839468a3c266d662d5bb21ea4cea24226936e2864a7ca4f2c3939836e0,78,0.06
03ca940b9d4e7736955b6f18dd5be3b7b5ca562d0efcf7c0fa9b66d3c052f07fd0,78,0.06
026af41af0e3861ba170cc0eef8f45a1015125dac57c28df53752dcaeea793b28f,78,0.06
0259ad05a14ed2ad2de7315f800b786d6e0765b25dcc2c737ecb5c7f6b5541972b,78,0.06
02b20c3217e78356d98a1891b045bfb5ce9972cc0a635aed4340da0b474beb084f,78,0.06
03416a2754f4cf3b90f1cad3ecd1b77d2a79320f990afc823957adedcbc7d7f5f8,77,0.06
022eb09a7993a0edde69537b420f4119c0de833e0ee47651753b46bf884db75235,77,0.06
02e552bfa4779c051ef3d6449eb4f6e58e07cac326161155e244c5d73c822c7722,76,0.06
0326fcb53fcb8a15f2ac462ec0e782301648d3f0b02f4315b7a33034f45466b503,76,0.06
0397ab5dc35039269fd3318da9e455eedfa73a830839a28e2faab1158a64c919e3,76,0.06
02767ba5a9e51ccb32f608ccc5268f2efd1dc9ac8ead95a8634ce913eaceec5f59,76,0.06
03dd74de9c2c9f1f4a661a98b8e46c936e8dd50826d853a3bee6f95f330aa80bbf,75,0.06
03641a88d80a2a85bbecd770577aca9b5495616e9fef63d66ef2631b7cca1d395d,75,0.06
